season,game_date,game_pk,market,side,home_team,away_team,bet_odds_timestamp,bet_snapshot_source,bet_price,wager_price,selected_open_price
2024,2024-06-28,745319,ML,HOME,San Francisco Giants,Los Angeles Dodgers,2024-06-28 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
2024,2024-06-29,746778,ML,HOME,Chicago White Sox,Colorado Rockies,2024-06-29 12:00:00+00:00,HistoricalBasic,102.0,102.0,102.0
2024,2024-06-29,745801,ML,HOME,New York Mets,Houston Astros,2024-06-29 12:00:00+00:00,HistoricalBasic,108.0,108.0,108.0
2024,2024-06-30,745154,ML,HOME,St. Louis Cardinals,Cincinnati Reds,2024-06-30 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
2024,2024-07-02,745886,ML,HOME,Minnesota Twins,Detroit Tigers,2024-07-02 12:00:00+00:00,HistoricalBasic,108.0,108.0,108.0
2024,2024-07-03,744915,ML,HOME,Toronto Blue Jays,Houston Astros,2024-07-03 12:00:00+00:00,HistoricalBasic,-102.0,-102.0,-102.0
2024,2024-07-03,745234,ML,HOME,Seattle Mariners,Baltimore Orioles,2024-07-03 12:00:00+00:00,HistoricalBasic,-102.0,-102.0,-102.0
2024,2024-07-05,745398,ML,AWAY,San Diego Padres,Arizona Diamondbacks,2024-07-05 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
2024,2024-07-06,747099,ML,HOME,Atlanta Braves,Philadelphia Phillies,2024-07-06 12:00:00+00:00,HistoricalBasic,-106.0,-106.0,-106.0
2024,2024-07-07,744832,ML,HOME,Washington Nationals,St. Louis Cardinals,2024-07-07 12:00:00+00:00,HistoricalBasic,106.0,106.0,106.0
2024,2024-07-07,746691,ML,HOME,Cincinnati Reds,Detroit Tigers,2024-07-07 12:00:00+00:00,HistoricalBasic,132.0,132.0,132.0
2024,2024-07-10,747179,ML,HOME,Arizona Diamondbacks,Atlanta Braves,2024-07-10 12:00:00+00:00,HistoricalBasic,116.0,116.0,116.0
2024,2024-07-10,745069,ML,HOME,Tampa Bay Rays,New York Yankees,2024-07-10 12:00:00+00:00,HistoricalBasic,-102.0,-102.0,-102.0
2024,2024-07-11,747011,ML,AWAY,Baltimore Orioles,Chicago Cubs,2024-07-11 12:00:00+00:00,HistoricalBasic,112.0,112.0,112.0
2024,2024-07-12,745390,ML,HOME,San Diego Padres,Atlanta Braves,2024-07-12 12:00:00+00:00,HistoricalBasic,112.0,112.0,112.0
2024,2024-07-13,745152,ML,HOME,St. Louis Cardinals,Chicago Cubs,2024-07-13 12:00:00+00:00,HistoricalBasic,126.0,126.0,126.0
